Comment,Designator,Footprint,LCSC
Conn_01x04,J5,PinHeader_1x04_P2.54mm_Vertical,
4.7k,R1,R_0805_2012Metric,
Conn_01x11_Socket,J2,PinSocket_1x11_P2.54mm_Vertical,
Conn_01x08_Socket,J4,PinSocket_1x08_P2.54mm_Vertical,
0.1uF,C1,C_0805_2012Metric,
4.7uF,C2,C_0805_2012Metric,
Conn_01x03,J6,PinHeader_1x03_P2.54mm_Vertical,
EVQ-P7A01P,S1,EVQP7J01P,
Conn_01x16_Socket,J1,PinSocket_1x16_P2.54mm_Vertical,
Conn_01x02_Socket,J3,PinSocket_1x02_P2.54mm_Vertical,
DA7280-00FVC,U2,QFN65P300X300X84-12N,
4.7k,R2,R_0805_2012Metric,
TestPoint,TP1,TestPoint_Pad_D1.5mm,
TestPoint,TP2,TestPoint_Pad_D1.5mm,
