Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,89.55,-61.4,180.0,top
C2,4.7uF,C_0805_2012Metric,89.55,-63.8,180.0,top
J1,Conn_01x16_Socket,PinSocket_1x16_P2.54mm_Vertical,83.4,-49.31,0.0,top
J2,Conn_01x11_Socket,PinSocket_1x11_P2.54mm_Vertical,103.7,-55.66,180.0,top
J3,Conn_01x02_Socket,PinSocket_1x02_P2.54mm_Vertical,93.53,-68.385,-90.0,top
J4,Conn_01x08_Socket,PinSocket_1x08_P2.54mm_Vertical,100.2,-43.99,0.0,top
J5,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,99.441,-30.48,-90.0,top
J6,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,103.759,-36.703,180.0,top
R1,4.7k,R_0805_2012Metric,95.0,-57.5125,-90.0,top
R2,4.7k,R_0805_2012Metric,97.7,-62.7125,90.0,top
S1,EVQ-P7A01P,EVQP7J01P,89.386,-30.263,180.0,top
U2,DA7280-00FVC,QFN65P300X300X84-12N,93.5,-62.6,0.0,top
